33,33,37,37,37,37,33,33,37,37,37,37,37,49,38,37,37,37,33,37,37,37,37,37,37,33,37,37,37,37
37,37,37,38,34,37,38,37,37,37,33,37,37,37,37,37,37,37,34,37,37,38,37,33,37,37,38,34,37,38
33,37,37,37,37,37,37,49,37,37,38,33,33,33,37,37,38,37,37,37,37,37,37,37,37,33,37,37,37,37
33,37,37,37,33,37,37,37,33,37,33,33,33,33,33,37,37,49,37,37,37,37,38,37,34,37,37,37,37,33
37,33,37,37,33,33,37,33,33,33,33,33,40,33,33,37,37,37,37,37,33,37,37,49,37,37,37,37,49,37
37,37,33,37,33,33,33,33,33,33,33,33,51,33,33,37,37,37,38,37,37,37,37,33,37,37,37,38,37,37
49,34,33,33,33,33,47,48,33,33,33,41,65,33,33,33,37,37,37,37,33,33,33,37,33,37,37,37,37,37
37,33,33,33,33,33,58,59,33,33,33,51,33,33,33,38,37,37,37,37,33,33,33,33,33,37,37,37,33,37
33,33,33,33,41,50,64,64,50,50,50,54,33,33,33,33,37,37,33,33,33,47,48,33,33,34,37,37,38,37
33,33,33,33,51,33,33,33,33,33,33,51,33,55,33,33,33,33,33,33,33,58,59,33,33,33,37,37,37,37
33,33,39,50,65,33,33,33,33,33,33,63,50,50,50,43,33,33,33,41,50,64,64,50,43,33,37,49,37,37
33,33,33,33,33,33,33,37,33,33,33,33,33,33,33,63,50,42,50,65,33,37,33,33,51,33,33,33,37,33
33,33,38,33,34,33,49,33,37,33,33,33,33,33,33,33,33,51,33,33,33,33,37,33,51,33,33,33,33,37
33,37,37,37,33,37,37,37,37,38,37,33,33,34,37,33,33,51,33,55,33,33,41,50,64,50,43,55,33,33
49,37,37,37,37,37,33,37,37,37,37,37,49,37,33,33,33,52,50,50,43,33,51,33,33,33,63,50,61,33
37,37,37,37,37,37,37,37,37,38,37,37,37,37,33,33,33,51,33,33,63,50,65,33,33,33,33,33,33,33
37,37,38,37,37,34,37,33,37,37,37,33,37,38,37,33,33,62,33,33,33,33,33,33,33,33,49,33,33,34
37,37,37,37,37,37,37,37,37,37,37,37,37,49,37,33,33,33,33,33,33,33,33,37,38,37,37,38,37,33
37,37,37,33,37,38,37,37,37,37,38,37,37,37,37,37,33,33,33,37,38,37,33,37,37,37,34,37,37,37
37,34,37,37,37,37,37,49,37,37,37,37,33,37,33,37,33,34,37,37,33,37,37,49,37,37,37,33,37,38
